,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
67,-0.3026089,0.92451733,2.2164638,0.07409494,-0.03629045
68,-0.05998189,1.0084327,2.3064477,0.070634164,-0.028904533
69,0.18831293,0.85292053,2.0003114,0.060679503,-0.01924972
70,0.0015294635,0.8935799,1.9254662,0.08164371,-0.026049616
71,-0.16842122,0.8492926,1.963793,0.0663515,-0.025675718
72,-0.87070113,0.48138043,1.7997575,0.063300274,-0.013923095
73,-0.11291149,0.90525633,2.5223892,0.077352956,-0.0100754155
74,0.03692958,0.78754205,2.0793178,0.08165392,-0.041096188
75,-0.43496776,0.78416175,1.870659,0.0866663,-0.04317362
76,-0.1852007,0.82861525,2.226773,0.10605009,-0.026837217
77,0.34068656,0.9767673,2.089548,0.0835095,-0.03741899
78,0.0028437267,0.8589906,2.1404786,0.073327236,-0.030223511
79,-0.8941315,0.4829474,2.0835257,0.08042653,-0.02310965
80,0.06632913,0.9369573,2.3887513,0.07723048,-0.03999922
81,-0.41031083,0.92231405,2.176998,0.0640699,-0.0022594908
82,-0.32191604,0.73895186,2.2141252,0.10666245,-0.03694177
83,0.6157352,1.0032065,2.2876692,0.07503568,-0.040898584
84,-0.08892297,0.80554897,2.039215,0.08234699,-0.029750112
85,-0.3359635,0.83507144,2.1719635,0.06288594,-0.04491911
86,-0.021847673,0.97307014,2.2447894,0.070008256,-0.02797656
87,0.1820104,0.9517685,2.0999296,0.09281757,-0.016626667
88,-0.5944162,0.7673817,2.3901315,0.09304686,-0.030499242
89,-0.08298347,0.9100537,1.9820856,0.048936505,-0.032179996
90,0.15085933,0.9438201,2.056966,0.07101975,-0.035568256
91,0.58678246,0.7770005,2.3499136,0.052202735,-0.036173362
92,-0.58293664,0.7560648,1.9799076,0.10191085,-0.020313596
93,-0.17548934,0.8221323,2.2052069,0.044675134,-0.003129314
94,0.078560255,0.95739067,1.976163,0.10390762,-0.015359357
95,-0.76677203,0.60943377,2.170666,0.067808725,-0.01591185
96,0.35070807,0.8190977,2.1320887,0.06323648,-0.030568255
97,-0.14818095,1.0139034,2.1981044,0.029405149,0.0007255071
98,0.15665662,0.9938636,2.0181131,0.07321054,-0.045193758
99,-0.61827046,0.79908323,2.0080144,0.05290438,-0.035660647
100,-0.21052091,0.8940589,2.149465,0.051577687,-0.04797703
101,0.5600787,1.0147741,1.846477,0.09668468,-0.026396148
102,0.09893741,0.9551261,2.0077224,0.048065227,-0.031698078
